<DOC>	<DOC>+BDTAG
ışık	TUR10-0355520
tutardı	TUR10-0789470
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Çok	TUR10-1256850
durduğumdan	TUR10-0225790
şüphelenmesinler	TUR10-0914020
diye	TUR10-0211500
uydurma	TUR10-0827950
bir	TUR10-0105580
tamir	TUR10-0587560
icat	TUR10-0123590
ettim	TUR10-0123590
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ama	TUR10-0031730
bu	TUR10-0120750
kez	TUR10-0186930
bir	TUR10-0105580
ricada	TUR10-1061330
bulunmaktan	TUR10-1061330
ziyade	TUR10-0876810
icazet	TUR10-0901700
verircesine	TUR10-0901700
üst	TUR10-0810210
perdeden	TUR10-0810210
çıkmıştı	TUR10-0880510
sesi	TUR10-0680750
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yeni	TUR10-0848680
boyanıp	TUR10-0116120
temizlenmiş	TUR10-0611000
bir	TUR10-0105580
ev	TUR10-0016320
gibi	TUR10-0297510
havası	TUR10-0032500
ferahlık	TUR10-0901850
veriyordu	TUR10-0901850
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Akşamları	TUR10-0793130
ikişer	TUR10-0365940
üçer	TUR10-0806240
kadeh	TUR10-0396120
içer	TUR10-1054150
,	TUR10-0820240
karşılıklı	TUR10-0423390
iç	TUR10-0901880
dökerdik	TUR10-0901880
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Gelincikler	TUR10-0289670
açmayınca	TUR10-0006390
baklalar	TUR10-0072660
içlenmez	TUR10-0901940
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Umarım	TUR10-0807610
şimdi	TUR10-0241000
anlıyorsundur	TUR10-0037550
uzun	TUR10-0805370
süre	TUR10-0716660
yatan	TUR10-0841510
kişilerin	TUR10-0932620
içeriden	TUR10-1213300
nasıl	TUR10-0572510
çıktıklarını	TUR10-0880110
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Artık	TUR10-0047630
bu	TUR10-0120750
çehrenin	TUR10-0713190
karşısına	TUR10-0472950
geç	TUR10-0286850
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hayatımızda	TUR10-0209050
bozukluğunu	TUR10-0118140
,	TUR10-0820240
yokluğunu	TUR10-0732000
içlerimiz	TUR10-0131870
burkularak	TUR10-0125280
duyduğumuz	TUR10-0750060
ne	TUR10-0289550
vardır	TUR10-0289550
ki	TUR10-0289550
millî	TUR10-0545750
şuur	TUR10-0103720
eksikliğinden	TUR10-0892930
gelmesin	TUR10-0892930
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Cip	TUR10-0141760
hazır	TUR10-0031920
,	TUR10-0820240
dedi	TUR10-1242470
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ay	TUR10-0058910
içim	TUR10-0358980
eziliyor	TUR10-0262310
kızım	TUR10-0458310
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Güler'i	TUR10-0000000
gördüm	TUR10-0672700
ve	TUR10-0816400
içim	TUR10-0358980
hop	TUR10-0347430
etti	TUR10-0258490
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yusuf	TUR10-0000000
bütün	TUR10-0585370
olayları	TUR10-0267960
korkuyla	TUR10-0475770
,	TUR10-0820240
yüreği	TUR10-0902240
daralarak	TUR10-0902240
izliyordu	TUR10-0390310
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sanki	TUR10-0663510
ağlayan	TUR10-0013990
ve	TUR10-0816400
en	TUR10-0246710
çok	TUR10-1256850
içi	TUR10-0902333
yanan	TUR10-0902333
o	TUR10-0581470
değildi	TUR10-0187890
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Pamuk	TUR10-0332230
için	TUR10-0840110
için	TUR10-0840110
yanıyor	TUR10-0832290
,	TUR10-0820240
zaman	TUR10-0281830
zaman	TUR10-0281830
küçük	TUR10-0045870
parıltılar	TUR10-0074780
çıkarıyordu	TUR10-0162910
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İdris	TUR10-0000000
Bey	TUR10-0097260
atına	TUR10-0228820
binip	TUR10-0105440
köyden	TUR10-0485140
ayrılırken	TUR10-0063580
içlerinden	TUR10-0131870
bir	TUR10-1222130
şeyler	TUR10-1222130
koptu	TUR10-0902390
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Şu	TUR10-0734010
kadıncağıza	TUR10-0396600
öyle	TUR10-0607180
acıyorum	TUR10-0003070
ki	TUR10-0459830
içimden	TUR10-0358980
kan	TUR10-0349980
gidiyor	TUR10-0299000
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Nazmiye'nin	TUR10-0000000
içine	TUR10-0131870
avuçla	TUR10-0058490
ateş	TUR10-0054710
atıp	TUR10-0056710
evden	TUR10-0016320
içeri	TUR10-0358420
giriyor	TUR10-0298740
ama	TUR10-0031730
başını	TUR10-0879170
kaldırıp	TUR10-0879170
pencereye	TUR10-0622420
bakmıyordu	TUR10-0073050
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Şevki	TUR10-0087050
,	TUR10-0820240
ekmek	TUR10-1018180
öpüp	TUR10-1018180
çocukları	TUR10-0171690
üzerine	TUR10-0811720
yemin	TUR10-1181970
ettikçe	TUR10-1181970
onun	TUR10-0581470
içine	TUR10-0902500
baygınlıklar	TUR10-0902500
çöküyordu	TUR10-0902500
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ne	TUR10-0572460
zaman	TUR10-0869520
ki	TUR10-0459830
sen	TUR10-0676460
ve	TUR10-0816400
senin	TUR10-0676460
gibiler	TUR10-0297510
ilk	TUR10-0369130
dönüme	TUR10-0221840
pey	TUR10-0625700
sürdünüz	TUR10-0109760
,	TUR10-0820240
bizler	TUR10-0110290
de	TUR10-0178920
dalaverenin	TUR10-0591300
içine	TUR10-0902630
tükürdük	TUR10-0902630
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bazı	TUR10-0087530
alametler	TUR10-0091700
büsbütün	TUR10-0128280
içimi	TUR10-0358970
çürüttü	TUR10-0177190
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Annesini	TUR10-0813510
yanına	TUR10-0767390
aldığı	TUR10-0029280
günlerdeki	TUR10-0315020
mutsuzluğum	TUR10-0558150
hâlâ	TUR10-0178850
içimi	TUR10-0358980
karartıyor	TUR10-0418170
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Toprakla	TUR10-0415100
insan	TUR10-0375930
hiçbir	TUR10-0343540
edebiyatta	TUR10-0234090
böylesine	TUR10-0120130
içli	TUR10-0758840
dışlı	TUR10-0758840
değildir	TUR10-0187890
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Devleti	TUR10-0200110
,	TUR10-0820240
sadece	TUR10-0661420
idare	TUR10-0902730
edenlerin	TUR10-0902730
sorumluluğuna	TUR10-0703590
bırakmak	TUR10-0100230
ve	TUR10-0816400
bir	TUR10-0106260
daha	TUR10-0106260
onu	TUR10-0581470
düşünmemek	TUR10-0104550
,	TUR10-0820240
sosyal	TUR10-0703950
şuura	TUR10-0103720
sahip	TUR10-0656970
olmamak	TUR10-0656970
demektir	TUR10-0522900
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Evinden	TUR10-0016320
yalnız	TUR10-0355170
idman	TUR10-0902750
yapmak	TUR10-0902750
için	TUR10-0359030
çıktığına	TUR10-0880110
eminim	TUR10-0245600
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Uykusuzdum	TUR10-0802830
,	TUR10-0820240
yorgundum	TUR10-0860090
,	TUR10-0820240
bir	TUR10-0105580
otobüs	TUR10-0593960
dolusu	TUR10-0217560
insanın	TUR10-0932620
içinde	TUR10-0359160
iftiraya	TUR10-0902810
uğramıştım	TUR10-0902810
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İğne	TUR10-0902840
ile	TUR10-0902840
kuyu	TUR10-0902840
kazmak	TUR10-0902840
gibi	TUR10-0297510
bir	TUR10-1222130
şeydi	TUR10-1222130
oymacılık	TUR10-0596220
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Nerelerdesiniz	TUR10-0000000
,	TUR10-0820240
İhsan	TUR10-0000000
Bey	TUR10-0097260
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Değil	TUR10-0187890
bu	TUR10-0120760
yerlerin	TUR10-0024100
başkanına	TUR10-0082350
hatta	TUR10-0178930
hademesine	TUR10-0346790
saygılarını	TUR10-0363870
sunmak	TUR10-0712610
için	TUR10-0359030
iki	TUR10-0364980
büklüm	TUR10-0364980
olurlar	TUR10-0287020
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yanlış	TUR10-0331590
tutumu	TUR10-0239440
yüzünden	TUR10-1130440
ikinci	TUR10-0903110
plana	TUR10-0903110
düştü	TUR10-0903110
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bütün	TUR10-0585370
gün	TUR10-0314940
çalışmaktan	TUR10-0147860
imanımız	TUR10-0370970
gevremiş	TUR10-0295290
,	TUR10-0820240
kurt	TUR10-1089520
gibi	TUR10-1089520
acıkmışız	TUR10-0002820
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İncir	TUR10-0903390
çekirdeği	TUR10-0903390
doldurmayan	TUR10-0903390
konularda	TUR10-0679150
bir	TUR10-0105590
araba	TUR10-0520720
lakırtı	TUR10-0506160
söylerler	TUR10-0191150
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Menfaatine	TUR10-0529300
dokunan	TUR10-0117880
adam	TUR10-0339670
,	TUR10-0820240
ipe	TUR10-0903550
gitmek	TUR10-0903550
için	TUR10-0359030
lazım	TUR10-0724810
gelen	TUR10-0724810
hükümleri	TUR10-1094420
giyer	TUR10-1094420
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0124500
kadar	TUR10-0124500
çalıştığım	TUR10-0147860
hâlde	TUR10-0752470
,	TUR10-0820240
ölçülerim	TUR10-0149930
pek	TUR10-0621150
mi	TUR10-0544040
aykırıdır	TUR10-0061930
nedir	TUR10-0572460
,	TUR10-0820240
yine	TUR10-0978370
ipin	TUR10-0903590
ucunu	TUR10-0903590
kaçırıveririm	TUR10-0903590
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İrtibat	TUR10-0903630
kurduğu	TUR10-0903630
adamı	TUR10-0932620
gören	TUR10-0672700
tek	TUR10-0256690
kişi	TUR10-0932620
benim	TUR10-0092580
.	TUR10-1081860
</S>	</S>+ESTAG
</DOC>	</DOC>+EDTAG
