<DOC>	<DOC>+BDTAG
bir	TUR10-0105570
yumru	TUR10-0862210
,	TUR10-0820240
gözleri	TUR10-0308060
kupkuru	TUR10-0491390
,	TUR10-0820240
yüzükoyun	TUR10-0868590
mutfağın	TUR10-0557770
taşlarına	TUR10-0749540
kapandı	TUR10-0412480
,	TUR10-0820240
uludu	TUR10-0798440
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İlkelerine	TUR10-0798740
sıkı	TUR10-0621230
sıkıya	TUR10-0621230
bağlı	TUR10-0070360
,	TUR10-0820240
bilinçli	TUR10-0734560
ve	TUR10-0816400
ödün	TUR10-0598790
vermez	TUR10-0598790
bir	TUR10-0105570
insandı	TUR10-0932620
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
O	TUR10-0581470
,	TUR10-0820240
bütün	TUR10-0585370
hayatı	TUR10-0027930
dalgalı	TUR10-0237590
bir	TUR10-0105570
ummanda	TUR10-0798800
ve	TUR10-0816400
kaptan	TUR10-0414740
köprüsünde	TUR10-0414740
geçen	TUR10-0288810
kocasından	TUR10-0465480
,	TUR10-0820240
sahilde	TUR10-0457450
sessiz	TUR10-0681330
balıkçı	TUR10-0074070
kulübesine	TUR10-0489710
mahsus	TUR10-0519190
bir	TUR10-0105570
yaşayış	TUR10-0287360
istemez	TUR10-0048420
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Üçü	TUR10-0806010
de	TUR10-0178920
kısa	TUR10-0067090
bir	TUR10-0105570
boyun	TUR10-0975610
kırışıyla	TUR10-0975610
umumu	TUR10-1251880
selamladılar	TUR10-1131150
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Politikayı	TUR10-0697580
zerre	TUR10-0873000
kadar	TUR10-0395910
umursadığı	TUR10-0799060
yoktu	TUR10-0732000
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Daha	TUR10-0371210
sonra	TUR10-0565820
bir	TUR10-0107030
iki	TUR10-0107030
dalga	TUR10-0180050
daha	TUR10-0178860
onu	TUR10-0581470
umutlandırarak	TUR10-0799180
sahile	TUR10-0457450
attı	TUR10-0879610
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bazı	TUR10-0087530
defa	TUR10-0186930
umutluyuz	TUR10-0089850
,	TUR10-0820240
bazen	TUR10-0281830
umutsuz	TUR10-0807700
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İstanbul'da	TUR10-0882020
mısır	TUR10-0543550
unundan	TUR10-0543550
baklava	TUR10-0072810
yapılırmış	TUR10-0834430
diye	TUR10-0211500
bir	TUR10-0105570
gün	TUR10-0314940
köye	TUR10-0485140
geldi	TUR10-0185910
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Realiteler	TUR10-0292690
o	TUR10-0583390
kadar	TUR10-0583390
korkunçtu	TUR10-0457290
ki	TUR10-0459830
onları	TUR10-0581470
unutmaya	TUR10-0799420
ve	TUR10-0816400
gizlemeye	TUR10-0023980
imkân	TUR10-0371420
yoktu	TUR10-0732000
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Onu	TUR10-0581470
da	TUR10-0178920
bilirdim	TUR10-0104510
eskiden	TUR10-0969890
memleketteyken	TUR10-0863390
amma	TUR10-0033440
sonradan	TUR10-0101850
unuttum	TUR10-0799440
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İyiliğini	TUR10-0055450
de	TUR10-0178920
ölünceye	TUR10-0286080
kadar	TUR10-0359120
unutmam	TUR10-1045860
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yepyeni	TUR10-0849690
,	TUR10-0820240
.	TUR10-1081860
belden	TUR10-0090070
büzmeli	TUR10-0129920
dört	TUR10-0222300
peşli	TUR10-0625260
elbisesi	TUR10-0176380
içinde	TUR10-0359160
Nina	TUR10-0000000
upusludur	TUR10-0799560
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Büyük	TUR10-0128860
harpte	TUR10-0135870
Osmanlı	TUR10-0593100
hazinesinin	TUR10-0337240
büyük	TUR10-0128860
bir	TUR10-0105570
kısmını	TUR10-0616530
çöl	TUR10-0097350
ve	TUR10-0816400
Urban	TUR10-0799710
yemiştir	TUR10-0327720
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Çehremde	TUR10-0713190
usanç	TUR10-0799890
alametlerinin	TUR10-0091700
arttığını	TUR10-0048010
sezen	TUR10-0683630
kâhya	TUR10-0399800
sustu	TUR10-0713640
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İki	TUR10-0364800
parmak	TUR10-0615960
arasında	TUR10-0041310
bütün	TUR10-0585370
usaresini	TUR10-0800000
salıveriyor	TUR10-0661110
,	TUR10-0820240
eriyor	TUR10-0250680
bitiyor	TUR10-0109740
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Gören	TUR10-0672700
bizi	TUR10-0110290
sanır	TUR10-0663560
deli	TUR10-0397880
Usludan	TUR10-0766780
yeğdir	TUR10-0238050
delimiz	TUR10-0397880
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bunların	TUR10-0124640
hepsi	TUR10-0143690
de	TUR10-0178920
çok	TUR10-1256850
güzel	TUR10-0318100
sesli	TUR10-0680750
ve	TUR10-0816400
oyunun	TUR10-0597150
ustaları	TUR10-0800320
arasından	TUR10-0041300
seçildi	TUR10-0123630
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0105570
gün	TUR10-0314940
altında	TUR10-0876570
imzası	TUR10-0372040
,	TUR10-0820240
usta	TUR10-0800400
işi	TUR10-0800400
bir	TUR10-0105570
şiir	TUR10-0525650
yayımlayarak	TUR10-0575280
kendisini	TUR10-0440780
avuttu	TUR10-0595690
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Onlar	TUR10-0588290
huylarını	TUR10-0350510
ya	TUR10-0822490
bilmez	TUR10-0104510
ya	TUR10-0822490
açığa	TUR10-0918410
vurmaz	TUR10-0918410
ya	TUR10-0822490
ustalıkla	TUR10-0800460
gizler	TUR10-0620590
ya	TUR10-0822490
sarahatle	TUR10-0665220
duyurmaz	TUR10-0227730
ve	TUR10-0816400
bizi	TUR10-0110290
aldatabilirler	TUR10-0025840
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hele	TUR10-0338200
Üsküdar	TUR10-1170670
gibi	TUR10-0297510
bıçkını	TUR10-0501360
semtlerde	TUR10-0825810
on	TUR10-1237480
çocuktan	TUR10-0171690
üç	TUR10-0806010
dördünde	TUR10-0837340
bir	TUR10-0105570
bıçak	TUR10-0099440
,	TUR10-0820240
bir	TUR10-0105570
sustalı	TUR10-0713750
,	TUR10-0820240
bir	TUR10-0105570
usturpa	TUR10-0800530
hatta	TUR10-0332120
bir	TUR10-0105570
saldırma	TUR10-1246060
bulunurdu	TUR10-0123790
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kendilerine	TUR10-0440770
nota	TUR10-0579780
,	TUR10-0820240
usul	TUR10-0547190
filan	TUR10-0273380
öğretilecek	TUR10-0599600
olursa	TUR10-0585900
bunlardan	TUR10-0124640
çok	TUR10-1256850
şey	TUR10-0729470
beklenebilir	TUR10-0089660
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ayfer	TUR10-0000000
,	TUR10-0820240
Nuran'ın	TUR10-0000000
düşürdüğü	TUR10-0231360
mendili	TUR10-0081320
usulca	TUR10-0800680
yerden	TUR10-0090350
aldı	TUR10-0029260
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kim	TUR10-1081910
bilir	TUR10-1081910
,	TUR10-0820240
bu	TUR10-0120760
Anadolu	TUR10-0499750
uşaklarının	TUR10-0800750
her	TUR10-0339330
birinde	TUR10-0339350
ne	TUR10-0572500
cevherler	TUR10-0137520
vardır	TUR10-0814730
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Uşaklık	TUR10-0800790
,	TUR10-0820240
ayvazlık	TUR10-0064240
istihkakın	TUR10-0382800
yokken	TUR10-0732000
bu	TUR10-0120760
rütbeye	TUR10-0619770
gelmişsin	TUR10-0185910
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Düğün	TUR10-0135500
sofrasında	TUR10-0698880
kendisinden	TUR10-0440780
başka	TUR10-0082160
böyle	TUR10-0120030
çatal	TUR10-0152810
tutanı	TUR10-0789860
göremeyince	TUR10-0305720
pek	TUR10-0621150
utandı	TUR10-0801020
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Böyle	TUR10-0120030
giderse	TUR10-0019950
tamamıyla	TUR10-0128280
galebe	TUR10-0801120
ümit	TUR10-0807610
ettiğini	TUR10-0807610
haber	TUR10-0318830
veriyordu	TUR10-0103170
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Zeki	TUR10-0872160
ve	TUR10-0816400
uyanık	TUR10-0566910
kişilerle	TUR10-0932620
dostluk	TUR10-0014960
kadar	TUR10-0395940
iyi	TUR10-0335340
bir	TUR10-1222130
şey	TUR10-1222130
olamaz	TUR10-0585900
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hayalperest	TUR10-0334470
kendi	TUR10-1077140
âlemine	TUR10-1077140
dalmışken	TUR10-1164110
uyanmasına	TUR10-0062360
imkân	TUR10-0371420
yoktur	TUR10-0732000
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
,	TUR10-0820240
iyiden	TUR10-0007380
iyiye	TUR10-0007380
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
kumandanı	TUR10-0097320
,	TUR10-0820240
matara	TUR10-0528920
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120750
patırtısız	TUR10-0618650
semtte	TUR10-0825810
loş	TUR10-0514110
odamızda	TUR10-0582130
girip	TUR10-0298730
ütüsü	TUR10-0811170
üzerinde	TUR10-0811170
serin	TUR10-0212060
çarşaflara	TUR10-0152370
serilerek	TUR10-0678880
yatmak	TUR10-0841440
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Üvey	TUR10-0811230
anası	TUR10-0811230
ona	TUR10-0587430
bir	TUR10-0105570
kurtarıcı	TUR10-0493710
gibi	TUR10-1031900
geldi	TUR10-1031900
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Gülse	TUR10-1096410
bile	TUR10-0372710
gülüşünde	TUR10-0313640
ham	TUR10-0302190
ayva	TUR10-0064110
,	TUR10-0820240
muşmula	TUR10-0096040
veya	TUR10-0818910
üvez	TUR10-0811380
yemiş	TUR10-1021330
gibi	TUR10-0297510
bir	TUR10-0105580
burukluk	TUR10-0125550
vardır	TUR10-0540500
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İyi	TUR10-0335340
süvarilik	TUR10-0719990
gururuyla	TUR10-0311600
ayaklarını	TUR10-0059170
üzengiden	TUR10-0811460
çıkarmış	TUR10-0880320
,	TUR10-0820240
dizginleri	TUR10-0211960
bırakmış	TUR10-0100320
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Müzakere	TUR10-0567170
bitince	TUR10-0444150
üç	TUR10-0806010
dört	TUR10-0222300
gün	TUR10-0315020
sonra	TUR10-0702490
gene	TUR10-0391400
evde	TUR10-0259080
buluşmak	TUR10-0643060
üzere	TUR10-0811590
ayrıldılar	TUR10-0063580
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120750
yangın	TUR10-0831230
kalbimizde	TUR10-0405450
başlıyorsa	TUR10-0082780
yani	TUR10-0831950
ümitsiz	TUR10-0798770
bir	TUR10-0105590
aşka	TUR10-1033880
düşmek	TUR10-1033880
üzere	TUR10-1210070
olduğumuzu	TUR10-1210070
hissedersek	TUR10-0346240
ne	TUR10-0572490
yapalım	TUR10-0232010
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Akşamüzeri	TUR10-0021500
,	TUR10-0820240
öğleüzeri	TUR10-0599170
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hacı	TUR10-0319460
Ömer'in	TUR10-0000000
hatırı	TUR10-1045810
için	TUR10-1045810
gecelerce	TUR10-0286270
başımı	TUR10-0080670
soğuk	TUR10-0699350
su	TUR10-0000030
ile	TUR10-0367360
ıslatarak	TUR10-0354650
kitaplar	TUR10-0464010
üzerinde	TUR10-0811710
çalıştım	TUR10-0147880
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sen	TUR10-0676460
şimdi	TUR10-0241000
züppelik	TUR10-0878430
ediyorsun	TUR10-0878430
ama	TUR10-0031730
yarın	TUR10-0837670
yine	TUR10-0106250
bize	TUR10-0110290
döneceksin	TUR10-0058070
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ününün	TUR10-0733660
,	TUR10-0820240
sinemamıza	TUR10-0097750
getirdiği	TUR10-0294910
özel	TUR10-0607920
duyarlığın	TUR10-0226870
ayırdında	TUR10-0879070
bile	TUR10-0810040
değildi	TUR10-0187890
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Başkaldırmış	TUR10-0879180
denizle	TUR10-0193590
dövüşe	TUR10-0968480
dövüşe	TUR10-0968480
boğulanı	TUR10-0111900
gördün	TUR10-0305620
mü	TUR10-0558870
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Nice	TUR10-0105790
yıl	TUR10-0676860
,	TUR10-0820240
cetlerimiz	TUR10-0137230
kökleşerek	TUR10-0252420
bir	TUR10-0105590
yerde	TUR10-0024100
,	TUR10-0820240
manevi	TUR10-0649640
varlığının	TUR10-0209160
resmini	TUR10-0510390
çizmiş	TUR10-0171400
havaya	TUR10-0032500
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hercümerç	TUR10-0339450
ettiğin	TUR10-0339450
edvara	TUR10-0144540
da	TUR10-0178920
yetmez	TUR10-0185940
o	TUR10-0581470
kitap	TUR10-0463990
Seni	TUR10-0676460
ancak	TUR10-0035990
ebediyetler	TUR10-0619680
eder	TUR10-0276130
istiap	TUR10-0382210
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Piyasadaki	TUR10-0630190
parayı	TUR10-1116510
çekmek	TUR10-1116510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Dayak	TUR10-0703040
çekmek	TUR10-0089100
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Tartsaydınız	TUR10-0748210
kırk	TUR10-0451460
,	TUR10-0820240
kırk	TUR10-0451460
beş	TUR10-0095970
kilodan	TUR10-0460900
fazla	TUR10-0266490
çekmezdi	TUR10-0402280
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Derenin	TUR10-0195680
kış	TUR10-0454930
yaz	TUR10-0843880
kurumayan	TUR10-0495070
suları	TUR10-0000030
böğürtlen	TUR10-0118870
fidanlarını	TUR10-0272610
yükseltmiş	TUR10-0102440
,	TUR10-0820240
iki	TUR10-0364810
tarafa	TUR10-0136340
yemiş	TUR10-0848170
dolu	TUR10-0217310
bir	TUR10-0105590
koyu	TUR10-0479090
çit	TUR10-0159820
çekmiş	TUR10-0741920
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İspirto	TUR10-0381230
çekmek	TUR10-0822050
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yazıyı	TUR10-0001020
temize	TUR10-1158110
çekmek	TUR10-1158110
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kuyudan	TUR10-0498850
su	TUR10-1142160
çektim	TUR10-1142150
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kahve	TUR10-0399500
çekmek	TUR10-0879780
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Beni	TUR10-0092580
lokantasına	TUR10-0925490
götürdü	TUR10-0307430
,	TUR10-0820240
âlâ	TUR10-0023060
bir	TUR10-0105570
öğle	TUR10-0599200
yemeği	TUR10-0599200
çekti	TUR10-0879820
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Aheste	TUR10-0015200
çek	TUR10-0879570
kürekleri	TUR10-0502960
mehtap	TUR10-0532730
uyanmasın	TUR10-0801450
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sorguya	TUR10-1139530
çekmek	TUR10-1139530
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yorganınızı	TUR10-0860000
başınıza	TUR10-0956520
çeker	TUR10-0956520
ve	TUR10-0816400
uykunuza	TUR10-0802620
devam	TUR10-0915630
edersiniz	TUR10-0019950
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kumaşı	TUR10-0490180
yıkayınca	TUR10-0862100
çekti	TUR10-0879910
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Tulumba	TUR10-0787730
,	TUR10-0820240
suyu	TUR10-0000030
iyi	TUR10-0335340
çekiyor	TUR10-0879570
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Çeşni	TUR10-0880010
diye	TUR10-0211490
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sadi	TUR10-0000000
artık	TUR10-0371210
kâh	TUR10-0281830
bir	TUR10-0105570
hoca	TUR10-0346830
,	TUR10-0820240
kâh	TUR10-0281830
bir	TUR10-0105570
çeteci	TUR10-0880070
kılığında	TUR10-0412110
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ortalık	TUR10-1110390
ağarırken	TUR10-1110390
bir	TUR10-0105570
arkadaşımla	TUR10-0045570
yorgun	TUR10-0860090
adımlarla	TUR10-0008440
konaktan	TUR10-0471260
çıktık	TUR10-0880110
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yeni	TUR10-0848680
evimizden	TUR10-0259060
çıkıp	TUR10-0880200
eski	TUR10-0288810
evimize	TUR10-0053840
taşındık	TUR10-0750170
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
dairede	TUR10-0427040
işler	TUR10-0384050
kolay	TUR10-0079300
çıkmaz	TUR10-0085500
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Uygunsuz	TUR10-0802510
dediğim	TUR10-1242470
vakalardan	TUR10-0267960
biri	TUR10-0106990
bir	TUR10-0105570
salon	TUR10-0661260
oyunu	TUR10-0630450
yüzünden	TUR10-1130440
çıkmıştır	TUR10-0220510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Borçlu	TUR10-0973470
çıkmak	TUR10-1243200
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Uzun	TUR10-0805370
,	TUR10-0820240
dik	TUR10-0828520
merdivenli	TUR10-0078560
bir	TUR10-0105570
yokuşu	TUR10-0858550
çıktık	TUR10-0880110
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Başkana	TUR10-0082350
çıkmak	TUR10-0880590
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Arsız	TUR10-0046970
ve	TUR10-0816400
aptal	TUR10-0294700
mahalle	TUR10-0517760
çocuğu	TUR10-0171690
rolüne	TUR10-1123960
çıkmıştı	TUR10-1123960
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Lağımdan	TUR10-0442610
pis	TUR10-0463070
kokular	TUR10-0467270
çıkıyor	TUR10-0880320
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kravatın	TUR10-0117070
boyası	TUR10-0115750
gömleğe	TUR10-0303370
çıktı	TUR10-0880350
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
kahveden	TUR10-0399670
sıkıldın	TUR10-0685860
,	TUR10-0820240
ötekine	TUR10-0203010
çıkarsın	TUR10-0056990
,	TUR10-0820240
anladın	TUR10-0037550
mı	TUR10-0558870
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0105570
ilçe	TUR10-0433960
belediye	TUR10-0090390
başkanı	TUR10-0082350
hepsinden	TUR10-0143690
açıkgöz	TUR10-0004460
çıktı	TUR10-0880210
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Fukaranın	TUR10-0934900
hem	TUR10-0337480
sağ	TUR10-0654920
bileği	TUR10-0102340
çıkmış	TUR10-0880620
hem	TUR10-0337480
davulu	TUR10-0185170
patlamıştı	TUR10-0618860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Maaş	TUR10-0518300
çıkmak	TUR10-0880210
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Erik	TUR10-1249790
çıkmış	TUR10-0220510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hava	TUR10-1046160
açılmış	TUR10-1046160
,	TUR10-0820240
ay	TUR10-0406930
çıkmıştı	TUR10-0306160
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Arabanın	TUR10-0520720
direksiyonu	TUR10-0208360
çıkmak	TUR10-0880620
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Aklı	TUR10-0019590
başında	TUR10-0019590
ama	TUR10-0031730
sabaha	TUR10-0651820
çıkamayacağına	TUR10-0085500
kalıbımı	TUR10-0100990
basarım	TUR10-0080020
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Çık	TUR10-0880480
bakalım	TUR10-0073050
paraları	TUR10-0613400
!	TUR10-0808050
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ağustos	TUR10-0014540
böceklerinin	TUR10-0014540
ninnileri	TUR10-0577270
,	TUR10-0820240
dızdızlarının	TUR10-0881000
ahengi	TUR10-0015060
sanki	TUR10-0663510
bu	TUR10-0120760
karanlık	TUR10-0417470
gölgelerde	TUR10-0302870
saklı	TUR10-0533190
haşeratı	TUR10-0331020
uyutuyordu	TUR10-1074940
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Dağlara	TUR10-0177470
kar	TUR10-0415040
düştü	TUR10-0881140
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sen	TUR10-0676460
bu	TUR10-0120750
işin	TUR10-0384050
üstüne	TUR10-0810340
çok	TUR10-0172500
düştün	TUR10-0881190
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
resim	TUR10-0510390
buraya	TUR10-0124730
iyi	TUR10-0389010
düştü	TUR10-0881210
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bana	TUR10-0075770
arada	TUR10-0281830
bir	TUR10-0281830
bakkaldan	TUR10-0072590
tuz	TUR10-0791480
,	TUR10-0820240
limon	TUR10-0511700
almak	TUR10-0029370
düşüyor	TUR10-0881210
,	TUR10-0820240
o	TUR10-0583390
kadar	TUR10-0395910
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Mirastan	TUR10-0767150
ona	TUR10-0581710
bu	TUR10-0581710
ev	TUR10-0053840
düştü	TUR10-0881260
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kabine	TUR10-1065120
düştü	TUR10-1065120
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0105570
rastlantı	TUR10-0769000
sonucu	TUR10-0702760
aralarına	TUR10-0041290
düşmüştüm	TUR10-0881240
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yorgun	TUR10-0501140
düşmek	TUR10-0501140
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Düşmüş	TUR10-0008700
kadınları	TUR10-0086000
bu	TUR10-0120750
dönemin	TUR10-0144540
yazarlarının	TUR10-0556610
yücelterek	TUR10-0864650
duygudaşlıkla	TUR10-0246270
çizdiklerini	TUR10-0171400
görüyoruz	TUR10-0305590
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Frenklere	TUR10-0881670
mahsus	TUR10-0519180
,	TUR10-0820240
şen	TUR10-0575130
,	TUR10-0820240
latifeci	TUR10-0024670
bir	TUR10-0105570
ihtiyarla	TUR10-0364220
genç	TUR10-0291000
kadına	TUR10-0086000
doğru	TUR10-0213640
ilerledi	TUR10-0367710
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bizimkinin	TUR10-0110460
evde	TUR10-0053840
olmadığı	TUR10-0123800
bir	TUR10-0105570
zamana	TUR10-0108660
denk	TUR10-0883160
getirirsem	TUR10-0883160
çağıracağım	TUR10-0584360
,	TUR10-0820240
bakalım	TUR10-0073000
gelecek	TUR10-0055940
mi	TUR10-0544040
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sağtöre	TUR10-0883240
,	TUR10-0820240
her	TUR10-0084000
zaman	TUR10-0084000
umutlu	TUR10-0799210
olmayı	TUR10-0821430
gerektirmez	TUR10-0897470
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Civanlığında	TUR10-0000000
senin	TUR10-0676460
de	TUR10-0994830
başından	TUR10-0050860
geçmiştir	TUR10-0288840
anacığım	TUR10-0034080
;	TUR10-0579400
aşkın	TUR10-0053850
ilacı	TUR10-0184510
vuslattır	TUR10-0883950
,	TUR10-0820240
anacığım	TUR10-0034080
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bütün	TUR10-0128460
ordunun	TUR10-0589990
kalbini	TUR10-0405470
Duatepe'den	TUR10-0000000
çıkan	TUR10-0162690
kurtuluş	TUR10-0494220
şulesi	TUR10-0884000
aydınlatmış	TUR10-1158670
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İçine	TUR10-0487570
paldır	TUR10-0611030
küldür	TUR10-0611580
yuvarlandığı	TUR10-0864500
bu	TUR10-0120750
curcunayı	TUR10-0143260
yadırgadı	TUR10-0884270
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Affınıza	TUR10-0884420
sığınarak	TUR10-0884420
malumatınızı	TUR10-0522600
da	TUR10-0178920
madamdan	TUR10-0515960
aldım	TUR10-0029370
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Gümrükten	TUR10-0314390
itibaren	TUR10-0387550
her	TUR10-0339330
rast	TUR10-1103020
geldiği	TUR10-1103020
adamla	TUR10-0932620
ahbap	TUR10-0884550
çıktı	TUR10-0884550
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İşin	TUR10-0384050
içinde	TUR10-0359150
olmanın	TUR10-0405220
verdiği	TUR10-0818450
rahatlıkla	TUR10-1142530
bol	TUR10-0112700
keseden	TUR10-0443330
ahkâm	TUR10-0884630
kesen	TUR10-0884630
akıl	TUR10-0018080
hocalarının	TUR10-0346830
eleştirilerine	TUR10-0242950
hedef	TUR10-0900150
olmayı	TUR10-0900150
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Böyle	TUR10-0120030
duru	TUR10-0225870
bir	TUR10-0105570
mantık	TUR10-0524890
karşısında	TUR10-0472950
akan	TUR10-0884770
sular	TUR10-0884770
duruyordu	TUR10-0884770
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İçeriğin	TUR10-0358470
nasıl	TUR10-0572510
aktarılacağına	TUR10-0022220
dikkat	TUR10-0204150
etmiş	TUR10-0204150
,	TUR10-0820240
dilin	TUR10-0512360
olanaklarını	TUR10-0371420
akarına	TUR10-0884790
bırakmıştır	TUR10-0884790
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Senden	TUR10-0676650
akıl	TUR10-0884820
alacak	TUR10-0884820
değilim	TUR10-0187890
</S>	</S>+ESTAG
